	Pinyin	Definition	Radical	Stroke count	HSK level	Frequency rank
半	bàn	half	十	5	3	513
节	jié	knot, node, joint; section	艸	5	3	514
护	hù	protect, guard, defend, shelter	手	7	3	529
音	yīn	sound, tone, pitch, pronunciation	音	9	3	540
跟	gēn	heel; to follow, accompany; with	足	13	3	541
留	liú	stop, halt; stay, detain, keep	田	10	3	554
讲	jiǎng	explain; discuss; talk	言	6	3	555
料	liào	consider, conjecture; materials, ingredients	斗	10	3	557
终	zhōng	end; finally, in the end	糸	8	3	558
答	dá	answer, reply; return; assent to	竹	12	3	559
黄	huáng	yellow; surname	黃	11	3	561
奇	qí	strange, unusual, uncanny, occult	大	8	3	563
段	duàn	section, piece, division	殳	9	3	567
故	gù	ancient, old; reason, because	攴	9	3	572
河	hé	river; stream; yellow river	水	8	3	574
害	hài	injure, harm; destroy, kill	宀	10	3	579
双	shuāng	set of two, pair, couple; both	又	4	3	581
境	jìng	boundary, frontier; area, region	土	14	3	582
愿	yuàn	sincere, honest, virtuous	心	14	3	598
网	wǎng	net; network; KangXi radical 122	网	6	3	605
育	yù	produce, give birth to; educate	肉	8	3	609
船	chuán	ship, boat, vessel	舟	11	3	614
脸	liǎn	face; cheek; reputation	肉	11	3	615
刻	kè	carve, engrave; quarter hour	刀	8	3	618
刚	gāng	hard, tough, rigid, strong	刀	6	3	621
般	bān	sort, manner, kind, category	舟	10	3	629
怕	pà	to fear, be afraid of; apprehensive	心	8	3	631
假	jiǎ	falsehood, deception; vacation	人	11	3	636
久	jiǔ	long time (ago); time passage, grow late	丿	3	3	637
拿	ná	take, hold, grasp; bring; with	手	10	3	645
阳	yáng		阜	6	3	650
急	jí	quick, quickly; urgent, pressing	心	9	3	657
居	jū	live, dwell, reside, sit	尸	8	3	678
环	huán	jade ring or bracelet; ring	玉	8	3	681
树	shù	tree; plant; set up, establish	木	9	3	697
层	céng	storey, layer, floor, stratum	尸	7	3	699
句	jù	sentence	口	5	3	707
简	jiǎn	simple, terse, succinct, a letter	竹	13	3	716
卡	kǎ	card, punch card; calorie	卜	5	3	717
担	dān	carry, bear, undertake	手	8	3	720
静	jìng	quiet, still, motionless; gentle	青	14	3	722
检	jiǎn	check; examine	木	11	3	731
差	chà	to differ; different, wrong; nearly, almost; an officer	工	9	3	732
角	jiǎo	horn; angle, corner; point	角	7	3	736
皮	pí	skin, hide, fur, feather; outer	皮	5	3	741
啊	a	exclamatory particle	口	10	3	753
超	chāo	jump over, leap over; surpass	走	12	3	754
银	yín	silver; cash, money, wealth	金	11	3	757
怪	guài	strange, unusual, peculiar	心	8	3	775
香	xiāng	fragrant, sweet smelling, incense	香	9	3	776
铁	tiě	iron; strong, solid, firm	金	10	3	779
草	cǎo	grass, straw, thatch, herbs	艸	9	3	789
脚	jiǎo	leg, foot; base, leg, foundation	肉	11	3	790
酒	jiǔ	wine, spirits, liquor, alcoholic beverage	酉	10	3	797
顾	gù	look back; look at; look after	頁	10	3	815
换	huàn	change	手	10	3	824
闻	wén	hear; smell; make known; news	門	9	3	825
坏	huài	rotten, spoilt, bad, broken down	土	7	3	832
楚	chǔ	name of feudal state; clear	木	13	3	859
楼	lóu	building of two or more stories	木	13	3	876
画	huà	a painting, picture, drawing; to draw	田	8	3	883
耳	ěr	ear; merely, only; handle	耳	6	3	887
短	duǎn	short; brief; deficient, lacking	矢	12	3	889
遇	yù	meet, come across, encounter	辵	12	3	899
康	kāng	peaceful, quiet; happy, healthy	广	11	3	900
旧	jiù	old, ancient; former, past	日	5	3	915
春	chūn	spring; wanton	日	9	3	921
附	fù	adhere to, append; rely on near to	阜	7	3	923
礼	lǐ	social custom; manners; courtesy	示	5	3	926
板	bǎn	plank, board; iron or tin plate	木	8	3	930
婚	hūn	get married; marriage, wedding	女	11	3	942
鲜	xiān	fresh; delicious; attractive	魚	14	3	958
词	cí	words; phrase, expression	言	7	3	959
择	zé	select, choose, pick out	手	8	3	961
